Name,Platform,Publisher,Developer,Total_Shipped,Year,,,,,,Critic_Score,User_Score
Portal 2,PC,Valve,Valve Software,13.06,2011,,,,,,9.7,9
Minecraft,X360,Microsoft Studios,Mojang,13,2013,,,,,,8.5,
Super Mario Galaxy,Wii,Nintendo,Nintendo EAD Tokyo,12.8,2007,,,,,,9.7,9.6
Pokemon Heart Gold / Soul Silver Version,DS,Nintendo,Game Freak,12.72,2010,,,,,,8.6,
Super Mario 3D Land,3DS,Nintendo,Nintendo EAD Tokyo,12.7,2011,,,,,,8.9,8.4
Call of Duty: Black Ops,PS3,Activision,Treyarch,12.67,2010,,,,,,8.7,
Grand Theft Auto V,PC,Rockstar Games,Rockstar North,12.6,2015,,,,,,9.6,7.7
Animal Crossing: New Leaf,3DS,Nintendo,Nintendo EAD,12.55,2013,,,,,,8.6,8.8
The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,12.4,2015,,,,,,9.3,9.4
Diablo III,PC,Blizzard Entertainment,Blizzard Entertainment,12,2012,,,,,,9,4.1
Half-Life 2,PC,VU Games,Valve Software,12,2004,,,,,,9.7,
Pokemon FireRed / LeafGreen Version,GBA,Nintendo,Game Freak,12,2004,,,,,,8.3,
World of Warcraft,PC,Blizzard Entertainment,Blizzard Entertainment,12,2004,,,,,,9.2,8
"Pokemon: Let's Go, Pikachu/Eevee",NS,Nintendo,Game Freak,11.97,2018,,,,,,8,6.2
Gran Turismo 5,PS3,Sony Computer Entertainment,Polyphony Digital,11.95,2010,,,,,,8.3,
Super Mario 64,N64,Nintendo,Nintendo EAD,11.91,1996,,,,,,9.7,9
FIFA 18,PS4,EA Sports,EA Vancouver,11.8,2017,,,,,,8.3,3.4
The Last of Us Remastered,PS4,Sony Computer Entertainment,Naughty Dog,11.78,2014,,,,,,9.5,9.1
Gran Turismo 4,PS2,Sony Computer Entertainment,Polyphony Digital,11.76,2005,,,,,,8.7,
Animal Crossing: Wild World,DS,Nintendo,Nintendo EAD,11.75,2005,,,,,,8.5,
Super Mario Land 2: 6 Golden Coins,GB,Nintendo,Nintendo R&D1,11.18,1992,,,,,,9,8.5
Grand Theft Auto IV,X360,Rockstar Games,Rockstar North,11.09,2008,,,,,,10,
